Site;Date de relevé;Energie consommée (kWh);Date;PE(kg);Année;Mois;KWh/Kg
PTWE89;2023-03-15;4586.0;2023-03-15;918.4;2023;3;4.993466898954704
PTWE35;2023-03-16;45530.0;2023-03-16;11020.054;2023;3;4.1315587019809525
PTWE42 Andrézieux;2023-03-16;7192.0;2023-03-16;2791.2;2023;3;2.5766695328174265
PTWE49;;;2023-03-16;6418.719999999999;2023;3;
PTWE89;2023-03-16;4619.0;2023-03-16;;2023;3;
PTWE35;2023-03-17;42547.0;2023-03-17;14243.496;2023;3;2.987117769401557
PTWE42 Andrézieux;2023-03-17;5048.0;2023-03-17;3054.6;2023;3;1.6525895370915995
PTWE49;;;2023-03-17;7131.5199999999995;2023;3;
PTWE89;2023-03-17;3231.0;2023-03-17;;2023;3;
PTWE35;2023-03-18;0.0;2023-03-18;;2023;3;
