Site;Année;Mois;Semaine;Machine;Gaz (kWh);PE (kg)
PTWE35;2023.0;9.0;38;M2;0.0;9123.84
PTWE35;2023.0;9.0;38;M3;0.0;9403.68
PTWE35;2023.0;9.0;38;M8;0.0;11064.504
PTWE35;2023.0;9.0;38;RM2400;0.0;3097.5
PTWE35;2023.0;9.0;38;RM4500;0.0;10869.76
PTWE35;2023.0;9.0;39;F4B;0.0;3898.1
PTWE35;2023.0;9.0;39;FB;0.0;1737.0
PTWE35;2023.0;9.0;39;M1;0.0;6417.648
PTWE35;2023.0;9.0;39;M2;0.0;8616.96
PTWE35;2023.0;9.0;39;M3;0.0;9403.68
PTWE35;2023.0;9.0;39;M8;0.0;12711.776
PTWE35;2023.0;9.0;39;RM2400;0.0;2490.0
PTWE35;2023.0;9.0;39;RM4500;0.0;9137.92
PTWE35;2023.0;10.0;40;F4B;0.0;4151.6
PTWE35;2023.0;10.0;40;FB;0.0;285.0
PTWE35;2023.0;10.0;40;M1;0.0;13033.76
PTWE35;2023.0;10.0;40;M2;0.0;11911.68
PTWE35;2023.0;10.0;40;M3;0.0;11453.2
PTWE35;2023.0;10.0;40;M8;0.0;14798.96
PTWE35;2023.0;10.0;40;RM2400;0.0;4006.2
PTWE35;2023.0;10.0;40;RM4500;0.0;4759.04
PTWE35;2023.0;10.0;41;F4B;0.0;2638.7
PTWE35;2023.0;10.0;41;M1;0.0;9276.880000000001
PTWE35;2023.0;10.0;41;M2;0.0;7729.92
PTWE35;2023.0;10.0;41;M3;0.0;6510.24
PTWE35;2023.0;10.0;41;M8;0.0;10592.56
PTWE35;2023.0;10.0;41;RM2400;0.0;2336.2
PTWE35;2023.0;10.0;41;RM4500;0.0;5061.76
PTWE35;2023.0;10.0;42;F4B;0.0;3444.0
PTWE35;2023.0;10.0;42;FB;0.0;936.0
PTWE35;2023.0;10.0;42;M1;0.0;10130.56
PTWE35;2023.0;10.0;42;M2;0.0;9884.16
PTWE35;2023.0;10.0;42;M3;0.0;11453.2
PTWE35;2023.0;10.0;42;M8;0.0;10986.712
PTWE35;2023.0;10.0;42;RM2400;0.0;3225.0
PTWE35;2023.0;10.0;42;RM4500;0.0;6336.0
PTWE35;2023.0;10.0;43;F4B;0.0;3424.0
PTWE35;2023.0;10.0;43;FB;0.0;1081.0
