Site;Machine;Date;PE (kg)
PTWE35;F4B;2023-10-16;579.4
PTWE35;F4B;2023-10-17;650.0
PTWE35;F4B;2023-10-18;728.2
PTWE35;F4B;2023-10-19;728.2
PTWE35;F4B;2023-10-20;758.2
PTWE35;F4B;2023-10-23;658.0
PTWE35;F4B;2023-10-24;659.5
PTWE35;F4B;2023-10-25;701.0
PTWE35;F4B;2023-10-26;706.0
PTWE35;F4B;2023-10-27;699.5
PTWE35;F4B;2023-10-31;200.5
PTWE35;F4B;2023-11-02;405.5
PTWE35;F4B;2023-11-03;724.0
PTWE35;F4B;2023-11-06;693.5
PTWE35;F4B;2023-11-07;697.85
PTWE35;F4B;2023-11-08;827.05
PTWE35;F4B;2023-11-09;499.2
PTWE35;F4B;2023-11-10;954.4
PTWE35;F4B;2023-11-13;469.25
PTWE35;F4B;2023-11-14;676.2
PTWE35;F4B;2023-11-15;787.2
PTWE35;F4B;2023-11-16;795.1
PTWE35;F4B;2023-11-17;686.0
PTWE35;F4B;2023-11-21;552.572
PTWE35;F4B;2023-11-22;731.7
PTWE35;F4B;2023-11-23;714.2
PTWE35;F4B;2023-11-24;743.7
PTWE35;F4B;2023-11-27;737.2
PTWE35;F4B;2023-11-28;637.35
PTWE35;F4B;2023-11-29;415.3
PTWE35;F4B;2023-11-30;639.45
PTWE35;F4B;2023-12-01;657.2
PTWE35;F4B;2023-12-02;573.5
PTWE35;F4B;2023-12-05;438.5
PTWE35;F4B;2023-12-06;497.7
PTWE35;F4B;2023-12-07;520.2
PTWE35;F4B;2023-12-08;557.7
PTWE35;F4B;2023-12-11;478.9
PTWE35;F4B;2023-12-12;624.5
PTWE35;F4B;2023-12-13;568.3
PTWE35;F4B;2023-12-14;601.3
PTWE35;F4B;2023-12-15;652.0
PTWE35;F4B;2023-12-18;735.9
PTWE35;F4B;2023-12-19;708.95
PTWE35;F4B;2023-12-20;765.9
PTWE35;F4B;2023-12-21;509.5
PTWE35;F4B;2024-01-04;617.4
PTWE35;F4B;2024-01-05;662.6
PTWE35;F4B;2024-01-06;432.6
PTWE35;F4B;2024-01-09;454.64
PTWE35;F4B;2024-01-10;633.0
PTWE35;F4B;2024-01-11;639.0
PTWE35;F4B;2024-01-12;621.0
PTWE35;F4B;2024-01-15;486.5
PTWE35;F4B;2024-01-16;414.28499999999997
PTWE35;F4B;2024-01-17;730.56
PTWE35;F4B;2024-01-18;723.06
PTWE35;F4B;2024-01-19;429.54
PTWE35;F4B;2024-01-23;117.66
PTWE35;F4B;2024-01-24;263.82
PTWE35;F4B;2024-01-25;357.5
PTWE35;F4B;2024-01-26;461.3
PTWE35;F4B;2024-01-30;788.825
PTWE35;F4B;2024-01-31;1032.0
PTWE35;F4B;2024-02-01;1032.0
PTWE35;F4B;2024-02-02;1032.0
PTWE35;F4B;2024-02-03;794.0
PTWE35;F4B;2024-02-06;772.5
PTWE35;F4B;2024-02-07;642.5
PTWE35;F4B;2024-02-09;1505.0
PTWE35;F4B;2024-02-13;641.2
PTWE35;F4B;2024-02-14;668.9
PTWE35;F4B;2024-02-15;721.5
PTWE35;F4B;2024-02-16;626.3
PTWE35;F4B;2024-02-20;652.0
PTWE35;F4B;2024-02-21;761.0
PTWE35;F4B;2024-02-22;691.5
PTWE35;F4B;2024-02-23;592.5
PTWE35;F4B;2024-02-27;502.8
PTWE35;F4B;2024-02-28;631.4
PTWE35;F4B;2024-02-29;1155.0
PTWE35;F4B;2024-03-04;395.0
PTWE35;F4B;2024-03-05;406.5
PTWE35;F4B;2024-03-06;503.0
PTWE35;F4B;2024-03-07;453.0
PTWE35;F4B;2024-03-08;708.0
PTWE35;F4B;2024-03-11;480.0
PTWE35;F4B;2024-03-12;518.5
PTWE35;F4B;2024-03-13;652.0
PTWE35;F4B;2024-03-14;566.5
PTWE35;F4B;2024-03-15;576.0
PTWE35;F4B;2024-03-18;606.0
PTWE35;F4B;2024-03-19;502.0
PTWE35;F4B;2024-03-20;605.0
PTWE35;F4B;2024-03-21;563.0
PTWE35;F4B;2024-03-22;563.0
PTWE35;F4B;2024-03-25;563.0
PTWE35;F4B;2024-03-26;464.4
PTWE35;F4B;2024-03-27;672.64
PTWE35;F4B;2024-03-28;672.64
PTWE35;F4B;2024-03-29;429.4
PTWE35;F4B;2024-04-02;672.64
PTWE35;F4B;2024-04-03;486.5
PTWE35;F4B;2024-04-04;556.0
PTWE35;F4B;2024-04-05;581.0
PTWE35;F4B;2024-04-06;298.0
PTWE35;F4B;2024-04-09;537.64
PTWE35;F4B;2024-04-10;801.96
PTWE35;F4B;2024-04-11;736.96
PTWE35;F4B;2024-04-12;798.96
PTWE35;F4B;2024-04-15;414.31
PTWE35;F4B;2024-04-16;580.3
PTWE35;F4B;2024-04-17;573.97
PTWE35;F4B;2024-04-18;729.96
PTWE35;F4B;2024-04-19;481.14
PTWE35;F4B;2024-04-22;628.3
PTWE35;F4B;2024-04-23;772.9300000000001
PTWE35;F4B;2024-04-24;897.96
PTWE35;F4B;2024-04-25;890.63
PTWE35;F4B;2024-04-26;863.56
PTWE35;F4B;2024-04-29;674.41
PTWE35;F4B;2024-04-30;804.6
PTWE35;F4B;2024-05-03;503.8
PTWE35;F4B;2024-05-04;994.8
PTWE35;F4B;2024-05-06;10.0
PTWE35;F4B;2024-05-07;571.8
PTWE35;F4B;2024-05-13;502.06
PTWE35;F4B;2024-05-14;172.65
PTWE35;F4B;2024-05-15;463.19
PTWE35;F4B;2024-05-16;645.81
PTWE35;F4B;2024-05-17;587.81
PTWE35;F4B;2024-05-20;491.7
PTWE35;F4B;2024-05-22;838.4
PTWE35;F4B;2024-05-23;755.4
PTWE35;F4B;2024-05-24;935.4
PTWE35;F4B;2024-05-27;583.6
PTWE35;F4B;2024-05-28;243.9
PTWE35;F4B;2024-05-29;444.6
PTWE35;F4B;2024-05-30;489.7
PTWE35;F4B;2024-05-31;411.9
PTWE35;F4B;2024-06-01;276.0
PTWE35;F4B;2024-06-04;665.65
PTWE35;F4B;2024-06-05;614.55
PTWE35;F4B;2024-06-06;752.15
PTWE35;F4B;2024-06-07;783.15
PTWE35;F4B;2024-06-10;597.352
PTWE35;F4B;2024-06-11;483.3
PTWE35;F4B;2024-06-12;495.65
PTWE35;F4B;2024-06-13;797.5
PTWE35;F4B;2024-06-14;840.1
PTWE35;F4B;2024-06-17;786.5
PTWE35;F4B;2024-06-18;807.2
PTWE35;F4B;2024-06-19;877.2
PTWE35;F4B;2024-06-20;835.2
PTWE35;F4B;2024-06-21;595.3
PTWE35;F4B;2024-06-24;510.95
PTWE35;F4B;2024-06-25;411.4
PTWE35;F4B;2024-06-26;422.4
PTWE35;F4B;2024-06-27;408.95
PTWE35;F4B;2024-06-28;629.6
PTWE35;F4B;2024-07-02;389.8
PTWE35;F4B;2024-07-03;533.85
PTWE35;F4B;2024-07-04;876.9
PTWE35;F4B;2024-07-05;848.55
PTWE35;F4B;2024-07-06;759.5
PTWE35;F4B;2024-07-09;877.2
